Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
perkEnforcerHPAmmoLongDesc,progression,Perk,,,Increased 44 mag ammo in loot,
perkEnforcerCompleteDesc,progression,Perk,,,All shots with .44 ammo penetrate enemies.,
perkEnforcerCompleteLongDesc,progression,Perk,,,All shots with .44 ammo penetrate enemies.,

perkPistolPeteHPAmmoDesc,progression,Perk,,,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteHPAmmoLongDesc,progression,Perk,,,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteAPAmmoDesc,progression,Perk,,,Increase 9mm ammo in loot.,
perkPistolPeteAPAmmoLongDesc,progression,Perk,,,Increase 9mm ammo in loot.,
perkPistolPeteCompleteDesc,progression,Perk,,,Shots fired at point blank ignore armor.,
perkPistolPeteCompleteLongDesc,progression,Perk,,,Shots fired at point blank ignore armor.,

perkRangersExplodingBoltsDesc,progression,Perk,,,Gain 20% more experience while using bows/crossbows.,
perkRangersExplodingBoltsLongDesc,progression,Perk,,,Gain 20% more experience while using bows/crossbows.,
perkRangersAPAmmoDesc,progression,Perk,,,Increase arrow and bolts in loot.,
perkRangersAPAmmoLongDesc,progression,Perk,,,Increase arrow and bolts in loot.,
perkRangersFlamingArrowsDesc,progression,Perk,,,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersFlamingArrowsLongDesc,progression,Perk,,,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersCompleteDesc,progression,Perk,,,Adds bleed chance to enemies while using bows or crossbows.,
perkRangersCompleteLongDesc,progression,Perk,,,Adds bleed chance to enemies while using bows or crossbows.,

perkShotgunMessiahBreachingSlugsDesc,progression,Perk,,,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahBreachingSlugsLongDesc,progression,Perk,,,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahSlugsDesc,progression,Perk,,,Increase shotgun ammuntion in loot.,
perkShotgunMessiahSlugsLongDesc,progression,Perk,,,Increase shotgun ammuntion in loot.,
perkShotgunMessiahCompleteDesc,progression,perk,,,Increased entity damage by 30% while using shotguns.,
perkShotgunMessiahCompleteLongDesc,progression,perk,,,Increased entity damage by 30% while using shotguns.,

perkSniperAPAmmoDesc,progression,Perk,,,Increase experience gain by 20% while using rifles.,
perkSniperAPAmmoLongDesc,progression,Perk,,,Increase experience gain by 20% while using rifles.,
perkSniperHPAmmoDesc,progression,Perk,,,Increase 7.62mm ammunition in loot.,
perkSniperHPAmmoLongDesc,progression,Perk,,,Increase 7.62mm ammunition in loot.,
perkSniperCompleteDesc,progression,Perk,,,Unlocks recipe to craft a ghillie suit.,
perkSniperCompleteLongDesc,progression,Perk,,,Unlocks recipe to craft a ghillie suit.,

perkArtOfMiningPalletsDesc,progression,Perk,,,Increase experience gain by 20% while using mining tools.,
perkArtOfMiningPalletsLongDesc,progression,Perk,,,Increase experience gain by 20% while using mining tools.,

perkCarryingCapacitySmallName,progression,Perk,,,Carrying Capacity Book One,
perkCarryingCapacitySmallDesc,progression,Perk,,,Reading this book will allow you to carry 6 more items.,
perkCarryingCapacityMediumName,progression,Perk,,,Carrying Capacity Book Two,
perkCarryingCapacityMediumDesc,progression,Perk,,,Reading this book will allow you to carry 6 more items.,
perkCarryingCapacityLargeName,progression,Perk,,,Carrying Capacity Book Three,
perkCarryingCapacityLargeDesc,progression,Perk,,,Reading this book will allow you to carry 12 more items.,
perkCarryingCapacityCompleteName,progression,Perk,,,Complete Smart Packaging,
perkCarryingCapacityCompleteDesc,progression,Perk,,,"After reading all 3 volumes, you have increased carrying capacity limits to the maxium and have now been granted a 5% bonus to your walking and running speed!",
skillDwallsBooksName,progression,Perk,,,Dwalls Books,
skillDwallsBooksDesc,progression,Perk,,,A series of books by Dwall that will you give you a better chance at surviving the apocalipse.,
perkDBChickenEggsName,progression,Perk,,,Chicken Eggs,
perkDBChickenEggsDesc,progression,Perk,,,"Reading this book will grant you the ability to harvest eggs from chickens.  Chickens comes first, eggs come second.",
perkDBNightVisionName,progression,Perk,,,Night Vision Mod,
perkDBNightVisionDesc,progression,Perk,,,Reading this book will teach you how to craft a night vision mod.,
perkDBSilentTrashName,progression,Perk,,,Silent Trash,
perkDBSilentTrashDesc,progression,Perk,,,Reading this book will grant you the ability to walk over trash and never make a sound even when standing!,
perkDBExpCardsName,progression,Perk,,,Experience Cards,
perkDBExpCardsDesc,progression,Perk,,,Reading this book will grant you the ability to gain a chance at harvesting experience cards from surface boulders found in the world.,
perkDBFeralDamageName,progression,Perk,,,Feral Damage,
perkDBFeralDamageDesc,progression,Perk,,,Reading this book will give you 10% bonus damage to ferals.,
perkDBRadiatedDamageName,progression,Perk,,,Radiated Damage,
perkDBRadiatedDamageDesc,progression,Perk,,,Reading this book will give you 10% bonus damage to radiated.,
perkDBNightBuildingCraftingName,progression,Perk,,,Night Building & Crafting,
perkDBNightBuildingCraftingDesc,progression,Perk,,,Reading this book will grant you 10% bonus experience gain when crafting and building at night.,
perkDBCompleteName,progression,Perk,,,Dwalls Books Completion,
perkDBCompleteDesc,progression,Perk,,,Completion of this book series grants you a chance to harvest seeds from wild crops.,

nonPurchasablePerkDesc,progression,Perk,,,Non-Purchasable Level for backend purposes.  No effect on player,

perkASPickaxesName,progression,Perk,,,Action Skills: Pickaxes,
perkASPickaxesDesc,progression,Perk,,,"Using any pickaxe will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",
perkASPickaxesRank1Desc,progression,Perk,,,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",
perkASPickaxesRank5Desc,progression,Perk,,,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",
perkASPickaxesRank10Desc,progression,Perk,,,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",
perkASPickaxesRank15Desc,progression,Perk,,,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",
perkASPickaxesRank20Desc,progression,Perk,,,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",
perkASPickaxesRank25Desc,progression,Perk,,,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",
perkASPickaxesRank30Desc,progression,Perk,,,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",
perkASPickaxesRank35Desc,progression,Perk,,,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",
perkASPickaxesRank40Desc,progression,Perk,,,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",
perkASPickaxesRank45Desc,progression,Perk,,,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",
perkASPickaxesRank50Desc,progression,Perk,,,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",
perkASPickaxesRank55Desc,progression,Perk,,,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",
perkASPickaxesRank60Desc,progression,Perk,,,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",
perkASPickaxesRank65Desc,progression,Perk,,,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",
perkASPickaxesRank70Desc,progression,Perk,,,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",
perkASPickaxesRank75Desc,progression,Perk,,,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",
perkASPickaxesRank80Desc,progression,Perk,,,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",
perkASPickaxesRank85Desc,progression,Perk,,,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",
perkASPickaxesRank90Desc,progression,Perk,,,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",
perkASPickaxesRank95Desc,progression,Perk,,,"47.5% bonus block damage, 47.5% higher harvest count, 23.8% less stamina usage, 14.3% higher player experience, 9.5% faster attacks.",
perkASPickaxesRank100Desc,progression,Perk,,,"50% bonus block damage, 50% higher harvest count, 25% less stamina usage, 15% higher player experience, 10% faster attacks.",

perkASAxesName,progression,Perk,,,Action Skills: Axes,
perkASAxesDesc,progression,Perk,,,"Using any axe will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",
perkASAxesRank1Desc,progression,Perk,,,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",
perkASAxesRank5Desc,progression,Perk,,,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",
perkASAxesRank10Desc,progression,Perk,,,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",
perkASAxesRank15Desc,progression,Perk,,,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",
perkASAxesRank20Desc,progression,Perk,,,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",
perkASAxesRank25Desc,progression,Perk,,,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",
perkASAxesRank30Desc,progression,Perk,,,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",
perkASAxesRank35Desc,progression,Perk,,,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",
perkASAxesRank40Desc,progression,Perk,,,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",
perkASAxesRank45Desc,progression,Perk,,,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",
perkASAxesRank50Desc,progression,Perk,,,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",
perkASAxesRank55Desc,progression,Perk,,,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",
perkASAxesRank60Desc,progression,Perk,,,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",
perkASAxesRank65Desc,progression,Perk,,,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",
perkASAxesRank70Desc,progression,Perk,,,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",
perkASAxesRank75Desc,progression,Perk,,,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",
perkASAxesRank80Desc,progression,Perk,,,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",
perkASAxesRank85Desc,progression,Perk,,,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",
perkASAxesRank90Desc,progression,Perk,,,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",
perkASAxesRank95Desc,progression,Perk,,,"47.5% bonus block damage, 47.5% higher harvest count, 23.8% less stamina usage, 14.3% higher player experience, 9.5% faster attacks.",
perkASAxesRank100Desc,progression,Perk,,,"50% bonus block damage, 50% higher harvest count, 25% less stamina usage, 15% higher player experience, 10% faster attacks.",

perkASShovelsName,progression,Perk,,,Action Skills: Shovels,
perkASShovelsDesc,progression,Perk,,,"Using any shovel will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",
perkASShovelsRank1Desc,progression,Perk,,,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",
perkASShovelsRank5Desc,progression,Perk,,,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",
perkASShovelsRank10Desc,progression,Perk,,,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",
perkASShovelsRank15Desc,progression,Perk,,,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",
perkASShovelsRank20Desc,progression,Perk,,,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",
perkASShovelsRank25Desc,progression,Perk,,,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",
perkASShovelsRank30Desc,progression,Perk,,,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",
perkASShovelsRank35Desc,progression,Perk,,,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",
perkASShovelsRank40Desc,progression,Perk,,,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",
perkASShovelsRank45Desc,progression,Perk,,,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",
perkASShovelsRank50Desc,progression,Perk,,,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",
perkASShovelsRank55Desc,progression,Perk,,,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",
perkASShovelsRank60Desc,progression,Perk,,,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",
perkASShovelsRank65Desc,progression,Perk,,,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",
perkASShovelsRank70Desc,progression,Perk,,,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",
perkASShovelsRank75Desc,progression,Perk,,,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",
perkASShovelsRank80Desc,progression,Perk,,,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",
perkASShovelsRank85Desc,progression,Perk,,,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",
perkASShovelsRank90Desc,progression,Perk,,,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",
perkASShovelsRank95Desc,progression,Perk,,,"47.5% bonus block damage, 47.5% higher harvest count, 23.8% less stamina usage, 14.3% higher player experience, 9.5% faster attacks.",
perkASShovelsRank100Desc,progression,Perk,,,"50% bonus block damage, 50% higher harvest count, 25% less stamina usage, 15% higher player experience, 10% faster attacks.",

perkASWrenchingName,progression,Perk,,,Action Skills: Wrenching,
perkASWrenchingDesc,progression,Perk,,,"Using any wrench, ratchet or impact driver will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",
perkASWrenchingRank1Desc,progression,Perk,,,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",
perkASWrenchingRank5Desc,progression,Perk,,,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",
perkASWrenchingRank10Desc,progression,Perk,,,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",
perkASWrenchingRank15Desc,progression,Perk,,,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",
perkASWrenchingRank20Desc,progression,Perk,,,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",
perkASWrenchingRank25Desc,progression,Perk,,,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",
perkASWrenchingRank30Desc,progression,Perk,,,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",
